Variant,var.type,var.WHO,var.clade,var.lin,var.origin,first.glob.date,cov-lineage canada,First detected,,,,
,Other,Other,NA,B,first detected in China,2019-12-24,,China,,,,
VOI Iota GH/253G.V1 (B.1.526) first detected in USA/New York,VOI,Iota,GH/253G.V1,B.1.526,first detected in USA/New York,2020-01-28,2021-01-15,USA/New York,outbreak.info,,,
VOI Kappa G/452R.V3 (B.1.617.1) first detected in India,VOI,Kappa,G/452R.V3,B.1.617.1,first detected in India,2020-03-03,2021-02-15,India,outbreak.info,,,
VOI Eta G/484K.V3 (B.1.525) first detected in UK/Nigeria,VOI,Eta,G/484K.V3,B.1.525,first detected in UK/Nigeria, 2020-03-25,2020-12-14,UK/Nigeria,outbreak.info,,,
VOI Epsilon GH/452R.V1 (B.1.429+B.1.427) first detected in USA/California,VOI,Epsilon,GH/452R.V1,B.1.429+B.1.427,first detected in USA/California,2020-04-11,2020-12-30,USA/California,outbreak.info,"""429':",26-Jan-20,05-Dec-20
VOI Zeta GR/484K.V2 (P.2) first detected in Brazil,VOI,Zeta,GR/484K.V2,P.2,first detected in Brazil,2020-04-13,2020-11-15,Brazil,outbreak.info,,,
VOI Lambda GR/452Q.V1 (C.37+C.37.1) first detected in Peru,VOI,Lambda,GR/452Q.V1,C.37+C.37.1,first detected in Peru,2020-07-21,2021-02-15,Peru,outbreak.info,,,
VOC Alpha GRY (B.1.1.7+Q.*) first detected in the UK,VOC,Alpha,GRY,B.1.1.7+Q.*,first detected in the UK,2020-09-01,2020-12-26,United Kingdom,cov.lineage,outbreak info earliest date: 7 Feb 2020,,
VOC Beta GH/501Y.V2 (B.1.351+B.1.351.2+B.1.351.3) first detected in South Africa,VOC,Beta,GH/501Y.V2,B.1.351+B.1.351.2+B.1.351.3,first detected in South Africa,2020-09-01,2021-01-08,South Africa,cov.lineage,outbreak info earliest date: 15 Feb 2020,,
VOI Mu GH (B.1.621+B.1.621.1) first detected in Colombia,VOI,Mu,GH,B.1.621+B.1.621.1,first detected in Colombia,2020-09-19,2021-05-26,Colombia,outbreak.info,CHANGED,,
VOC Gamma GR/501Y.V3 (P.1+P.1.*) first detected in Brazil/Japan,VOC,Gamma,GR/501Y.V3,P.1+P.1.*,first detected in Brazil/Japan,2020-09-22,2021-02-07,Brazil,cov.lineage,outbreak info earliest date: 15 Mar 2020,,
VOI Theta GR/1092K.V1 (P.3) first detected in the Philippines,VOI,Theta,GR/1092K.V1,P.3,first detected in the Philippines,2021-01-15,2021-02-09,Phillipines,outbreak.info,CHANGED,,
VOC Delta GK (B.1.617.2+AY.*) first detected in India,VOC,Delta,GK,B.1.617.2+AY.*,first detected in India,2021-03-01,2021-03-06,India,cov.lineage,outbreak info earliest date: 27 Mar 2020,,
VUM GH/490R (B.1.640+B.1.640.*) first detected in Congo/France,VUM,GH/490R,GH/490R,B.1.640+B.1.640.*,first detected in Congo/France,2021-03-11,,"Congo, France",outbreak.info,CHANGED,,
VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,VOC,Omicron,GRA,B.1.1.529+BA.*,first detected in Botswana/Hong Kong/South Africa,2021-11-08,2021-10-29,South Africa and Botswana,cov.lineage,outbreak info earliest date: 24 May 2020,,